"('mid',)","('genre',)"
tt0016654,Action
tt0016654,Adventure
tt0016669,Drama
tt0016669,Romance
tt0016690,Action
tt0016690,Drama
tt0016690,Romance
tt0016822,Comedy
tt0016822,Romance
tt0016847,Drama
tt0016847,Fantasy
tt0016847,Horror
tt0016884,Drama
tt0016895,Action
tt0016895,Comedy
tt0016895,Romance
tt0017048,Drama
tt0017048,Horror
tt0017048,Thriller
tt0017075,Crime
tt0017075,Drama
tt0017075,Mystery
tt0017128,Drama
tt0017136,Drama
tt0017136,Sci-Fi
tt0017271,Action
tt0017271,Crime
tt0017271,Drama
tt0017350,Drama
tt0017416,Adventure
tt0017416,Drama
tt0017416,Romance
tt0017423,Drama
tt0017448,Comedy
tt0017448,Drama
tt0017449,Drama
tt0017449,Romance
tt0017463,Romance
tt0017463,Western
tt0017534,Drama
tt0017534,Romance
tt0017534,Sport
tt0017668,Documentary
tt0017739,Comedy
tt0017739,Horror
tt0017739,Mystery
tt0017765,Comedy
tt0017765,Drama
tt0017765,Sport
tt0017825,Adventure
tt0017825,Drama
tt0017825,Thriller
tt0017843,Romance
tt0017843,Thriller
tt0017925,Action
tt0017925,Adventure
tt0017925,Comedy
tt0017961,Comedy
tt0017961,Drama
tt0018033,Comedy
tt0018033,Romance
tt0018037,Drama
tt0018037,Music
tt0018037,Musical
tt0018051,Comedy
tt0018051,Drama
tt0018051,Family
tt0018054,Biography
tt0018054,Drama
tt0018054,Family
tt0018066,Drama
tt0018097,Horror
tt0018107,Drama
tt0018107,Romance
tt0018192,Biography
tt0018192,Drama
tt0018192,History
tt0018217,Drama
tt0018217,History
tt0018311,Comedy
tt0018311,Romance
tt0018328,Drama
tt0018328,Romance
tt0018328,Sport
tt0018379,Drama
tt0018379,Romance
tt0018440,Comedy
tt0018451,Drama
tt0018451,Romance
tt0018455,Drama
tt0018455,Romance
tt0018471,Comedy
tt0018471,Drama
tt0018471,Romance
tt0018505,Comedy
tt0018505,Drama
tt0018515,Adventure
tt0018515,Comedy
tt0018515,Romance
tt0018526,Crime
tt0018526,Drama
tt0018526,Film-Noir
tt0018528,Drama
tt0018528,Horror
tt0018528,Romance
tt0018578,Action
tt0018578,Drama
tt0018578,Romance
