"('mid',)","('pid',)"
tt0015119,nm0075960
tt0015119,nm0773083
tt0015136,nm0051911
tt0015136,nm0902376
tt0015136,nm0003433
tt0015163,nm0115669
tt0015163,nm0593477
tt0015163,nm0369841
tt0015174,nm0902376
tt0015175,nm0000485
tt0015175,nm0902376
tt0015202,nm0626326
tt0015202,nm0719165
tt0015214,nm0163229
tt0015224,nm0057381
tt0015224,nm0325135
tt0015324,nm0369841
tt0015324,nm0593477
tt0015324,nm0115669
tt0015361,nm0017893
tt0015361,nm0001178
tt0015361,nm0470402
tt0015361,nm0687244
tt0015400,nm0940689
tt0015400,nm0001196
tt0015400,nm0008280
tt0015400,nm0640884
tt0015532,nm0718201
tt0015624,nm0821716
tt0015624,nm0066946
tt0015624,nm0267868
tt0015624,nm0896542
tt0015634,nm0584778
tt0015648,nm0012810
tt0015648,nm0001178
tt0015648,nm0017893
tt0015648,nm0038595
tt0015648,nm0872308
tt0015768,nm0003433
tt0015768,nm0727484
tt0015772,nm0701090
tt0015772,nm0547938
tt0015772,nm0473134
tt0015841,nm0853130
tt0015841,nm0928514
tt0015841,nm0340599
tt0015841,nm0924065
tt0015841,nm0336984
tt0015841,nm0516001
tt0015842,nm0079278
tt0015842,nm0352026
tt0015842,nm1680388
tt0015863,nm0000036
tt0015863,nm0623640
tt0015863,nm0134252
tt0015864,nm0000122
tt0015873,nm0142579
tt0015873,nm0708920
tt0015881,nm0558923
tt0015881,nm0002233
tt0015881,nm0635805
tt0015881,nm0267868
tt0016004,nm0928492
tt0016004,nm0430756
tt0016004,nm0298494
tt0016004,nm0516737
tt0016029,nm0175902
tt0016029,nm0426531
tt0016029,nm0124877
tt0016039,nm0236279
tt0016039,nm0265572
tt0016104,nm0002233
tt0016104,nm0322227
tt0016104,nm0529618
tt0016104,nm0825551
tt0016104,nm0014703
tt0016123,nm0922327
tt0016123,nm0928108
tt0016123,nm0533102
tt0016123,nm0448978
tt0016123,nm0837989
tt0016220,nm0503693
tt0016220,nm0031033
tt0016220,nm0165470
tt0016220,nm0566338
tt0016220,nm0566439
tt0016220,nm0715723
tt0016220,nm0775419
tt0016220,nm0908831
tt0016220,nm1541473
tt0016230,nm0054123
tt0016230,nm0822627
tt0016332,nm0576362
tt0016332,nm0115669
tt0016332,nm0369841
tt0016332,nm0593477
tt0016473,nm0730317
tt0016473,nm0950150
tt0016481,nm0390586
tt0016481,nm0243295
tt0016544,nm0000875
tt0016544,nm0062091
tt0016544,nm0497736
tt0016544,nm0783865
tt0016627,nm0754581
tt0016627,nm0267913
tt0016627,nm0014703
tt0016630,nm0809548
tt0016630,nm0090213
tt0016630,nm0807667
