"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0166287,movie,Don't Tell Anyone,No se lo digas a nadie,0,1998,,120
tt0166370,movie,Subconscious Cruelty,Subconscious Cruelty,0,2000,,92
tt0166396,movie,Waking Ned Devine,Waking Ned,0,1998,,91
tt0166476,movie,Toxic Love,Amore tossico,0,1983,,90
tt0166485,movie,Anna and the King,Anna and the King,0,1999,,148
tt0166556,movie,That's Life,Così è la vita,0,1998,,108
tt0166604,movie,Fögi Is a Bastard,F. est un salaud,0,1998,,91
tt0166653,movie,The Health Journey,Hälsoresan - En smal film av stor vikt,0,1999,,105
tt0166808,movie,Sombre,Sombre,0,1998,,112
tt0166813,movie,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,0,2002,,83
tt0166896,movie,The Straight Story,The Straight Story,0,1999,,112
tt0166924,movie,Mulholland Drive,Mulholland Dr.,0,2001,,147
tt0166943,movie,Music of the Heart,Music of the Heart,0,1999,,124
tt0167059,movie,The Book of Life,The Book of Life,0,1998,,63
tt0167116,movie,Desert Saints,Desert Saints,0,2002,,88
tt0167132,movie,Der Eisbär,Der Eisbär,0,1998,,90
tt0167137,movie,The One and Only,Den eneste ene,0,1999,,106
tt0167147,movie,Evil Dead Trap,Shiryô no wana,0,1988,,102
tt0167190,movie,Hellboy,Hellboy,0,2004,,122
tt0167203,movie,I Dreamed of Africa,I Dreamed of Africa,0,2000,,114
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,,201
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,,179
tt0167284,movie,Milo,Milo,0,1998,,91
tt0167331,movie,Cosy Dens,Pelísky,0,1999,,115
tt0167341,movie,Tommy and the Wildcat,Poika ja ilves,0,1998,,102
tt0167350,movie,Progeny,Progeny,0,1998,,98
tt0167400,movie,Time to Love,Sevmek Zamani,0,1965,,89
tt0167404,movie,The Sixth Sense,The Sixth Sense,0,1999,,107
tt0167423,movie,Diamonds,Diamonds,0,1999,,91
tt0167427,movie,Superstar,Superstar,0,1999,,81
tt0167456,movie,Thunderbirds,Thunderbirds,0,2004,,95
tt0167479,movie,Vieni avanti cretino,Vieni avanti cretino,0,1982,,98
tt0167752,movie,The 4th Floor,The 4th Floor,0,1999,,90
tt0167825,movie,Chicken Park,Chicken Park,0,1994,,98
tt0167925,movie,"Late August, Early September","Fin août, début septembre",0,1998,,112
tt0167926,movie,The Children of the Marshland,Les enfants du marais,0,1999,,115
tt0167947,movie,Gallo cedrone,Gallo cedrone,0,1998,,93
tt0168043,movie,The Longest Nite,Aam fa,0,1998,,84
tt0168080,movie,Dying of Laughter,Muertos de risa,0,1999,,113
tt0168123,movie,A Long Hot Summer,Pitkä kuuma kesä,0,1999,,100
tt0168172,movie,Simon Sez,Simon Sez,0,1999,,85
tt0168269,movie,Cinderella,Zolushka,0,1947,,84
tt0168446,movie,Aberdeen,Aberdeen,0,2000,,113
tt0168449,movie,The Adventures of Sebastian Cole,The Adventures of Sebastian Cole,0,1998,,99
tt0168501,movie,The Best Man,The Best Man,0,1999,,120
tt0168504,movie,A Better Way to Die,A Better Way to Die,0,2000,,101
tt0168629,movie,Dancer in the Dark,Dancer in the Dark,0,2000,,140
tt0168740,movie,Boredom,L'ennui,0,1998,,122
tt0168786,movie,Antwone Fisher,Antwone Fisher,0,2002,,120
tt0168794,movie,The Five Senses,The Five Senses,0,1999,,106
tt0168856,movie,A Fish Tale,Hjælp! Jeg er en fisk,0,2000,,80
tt0168972,movie,Love & Pop,Love & Pop,0,1998,,110
tt0168987,movie,Better Than Chocolate,Better Than Chocolate,0,1999,,101
tt0169102,movie,Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India,0,2001,,224
tt0169145,movie,Cabaret Balkan,Bure baruta,0,1998,,102
tt0169164,movie,Radio Arrow,Radiofreccia,0,1998,,112
tt0169222,movie,Shark Skin Man and Peach Hip Girl,Samehada otoko to momojiri onna,0,1998,,108
tt0169299,movie,Terror Firmer,Terror Firmer,0,1999,,124
tt0169302,movie,The Terrorist,Theeviravaathi: The Terrorist,0,1998,,95
tt0169376,movie,Welcome to Hollywood,Welcome to Hollywood,0,1998,,89
tt0169547,movie,American Beauty,American Beauty,0,1999,,122
tt0169620,movie,The Black Gestapo,The Black Gestapo,0,1975,,90
tt0169828,movie,Father of a Soldier,Jariskatsis mama,0,1964,,87
tt0169858,movie,Neon Genesis Evangelion: The End of Evangelion,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",0,1997,,87
tt0169880,movie,Neon Genesis Evangelion: Death & Rebirth,Shin seiki Evangelion Gekijô-ban: Shito shinsei,0,1997,,101
tt0170016,movie,How the Grinch Stole Christmas,How the Grinch Stole Christmas,0,2000,,104
tt0170259,movie,Luna Papa,Luna Papa,0,1999,,107
tt0170351,movie,Pan Tadeusz: The Last Foray in Lithuania,Pan Tadeusz,0,1999,,147
tt0170544,movie,Samurai Fiction,SF: Episode One,0,1998,,111
tt0170691,movie,Tigerland,Tigerland,0,2000,,101
tt0170705,movie,Train of Life,Train de vie,0,1998,,103
tt0170783,movie,Yesterday,Vchera,0,1988,,84
tt0171049,movie,Airspeed,Airspeed,0,1999,,81
tt0171227,movie,Diplomatic Siege,Diplomatic Siege,0,1999,,90
tt0171356,movie,Gun Shy,Gun Shy,0,2000,,101
tt0171357,movie,Barefoot Gen 2,Hadashi no Gen 2,0,1986,,85
tt0171359,movie,Hamlet,Hamlet,0,2000,,112
tt0171363,movie,The Haunting,The Haunting,0,1999,,113
tt0171408,movie,July Rain,Iyulskiy dozhd,0,1967,,107
tt0171433,movie,Keeping the Faith,Keeping the Faith,0,2000,,128
tt0171580,movie,Nurse Betty,Nurse Betty,0,2000,,110
tt0171685,movie,Ratcatcher,Ratcatcher,0,1999,,94
tt0171698,movie,Rites of Passage,Rites of Passage,0,1999,,95
tt0171804,movie,Boys Don't Cry,Boys Don't Cry,0,1999,,118
tt0171851,movie,"Tsatsiki, Mum and the Policeman","Tsatsiki, morsan och polisen",0,1999,,91
tt0171865,movie,Wonderland,Wonderland,0,1999,,108
tt0171922,movie,The Wife of an Important Man,Zawgat Ragoul Mohem,0,1987,,115
tt0171928,movie,The Xango from Baker Street,O Xangô de Baker Street,0,2001,,124
tt0172156,movie,Bad Boys II,Bad Boys II,0,2003,,147
tt0172184,movie,Bloodsport: The Dark Kumite,Bloodsport: The Dark Kumite,0,1999,,100
tt0172234,movie,Chaahat,Chaahat,0,1996,,151
tt0172396,movie,The End of the Affair,The End of the Affair,0,1999,,102
tt0172493,movie,"Girl, Interrupted","Girl, Interrupted",0,1999,,127
tt0172495,movie,Gladiator,Gladiator,0,2000,,155
tt0172519,movie,Guddu,Guddu,0,1995,,160
tt0172543,movie,He Died with a Felafel in His Hand,He Died with a Felafel in His Hand,0,2001,,107
tt0172627,movie,Body Shots,Body Shots,0,1999,,106
tt0172632,movie,Joe Gould's Secret,Joe Gould's Secret,0,2000,,104
tt0172669,movie,Komodo,Komodo,0,1999,,90
tt0172684,movie,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,0,1998,,177
tt0172726,movie,Light It Up,Light It Up,0,1999,,99
tt0172761,movie,Major Saab,Major Saab,0,1998,,165
tt0172776,movie,Mars na Drinu,Mars na Drinu,0,1964,,107
tt0172812,movie,The Shooting Party,Moy laskovyy i nezhnyy zver,0,1978,,109
tt0173024,movie,Visitor of a Museum,Posetitel muzeya,0,1989,,136
tt0173080,movie,Pyaar Kiya To Darna Kya,Pyaar Kiya To Darna Kya,0,1998,,162
tt0173081,movie,Pyaar To Hona Hi Tha,Pyaar To Hona Hi Tha,0,1998,,156
tt0173102,movie,Raju Ban Gaya Gentleman,Raju Ban Gaya Gentleman,0,1992,,152
tt0173283,movie,Swarg,Swarg,0,1990,,160
tt0173682,movie,Sky High,Sky High,0,1985,,109
tt0173714,movie,Cats,Cats,0,1998,,120
tt0173716,movie,Cecil B. Demented,Cecil B. Demented,0,2000,,87
tt0173772,movie,My Voyage to Italy,Il mio viaggio in Italia,0,1999,,246
tt0173840,movie,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,0,2001,,106
tt0174105,movie,Paparazzi,Paparazzi,0,1998,,100
tt0174204,movie,Simpatico,Simpatico,0,1999,,106
tt0174268,movie,The Third Miracle,The Third Miracle,0,1999,,119
tt0174330,movie,Venus Beauty Institute,Vénus beauté (institut),0,1999,,105
