"('mid',)","('pid',)"
tt0019655,nm0562004
tt0019702,nm0000033
tt0019729,nm0064600
tt0019735,nm0428059
tt0019760,nm0895048
tt0019777,nm0282984
tt0019777,nm0763798
tt0019788,nm0853130
tt0019811,nm0631438
tt0019823,nm0337586
tt0019901,nm0000485
tt0019959,nm0896542
tt0019993,nm0718469
tt0019993,nm0127511
tt0019993,nm0396876
tt0020018,nm0191899
tt0020030,nm0245385
tt0020062,nm0275494
tt0020112,nm0523932
tt0020122,nm0097648
tt0020142,nm0000033
tt0020143,nm0502752
tt0020163,nm0802563
tt0020163,nm0003593
tt0020163,nm0322843
tt0020163,nm0802561
tt0020163,nm0880618
tt0020269,nm0243295
tt0020298,nm0092915
tt0020298,nm0002233
tt0020442,nm0781292
tt0020442,nm0000036
tt0020451,nm0017893
tt0020451,nm0001178
tt0020475,nm0655065
tt0020514,nm0332539
tt0020620,nm0000428
tt0020629,nm0587277
tt0020640,nm0373511
tt0020641,nm0113284
tt0020686,nm0934980
tt0020686,nm0384276
tt0020691,nm0909825
tt0020691,nm0517264
tt0020697,nm0903049
tt0020768,nm0003638
tt0020793,nm0002190
tt0020815,nm0001328
tt0020827,nm0502752
tt0020836,nm0562845
tt0020876,nm0516001
tt0020876,nm0115669
tt0020891,nm0064600
tt0020960,nm0332539
tt0020960,nm0400652
tt0020960,nm0001843
tt0021015,nm0000033
tt0021025,nm0026960
tt0021025,nm0487237
tt0021040,nm0001008
tt0021079,nm0503777
tt0021106,nm0001124
tt0021148,nm0384276
tt0021153,nm0523932
tt0021156,nm0903049
tt0021165,nm0000033
tt0021189,nm0896542
tt0021309,nm0823089
tt0021309,nm0823088
tt0021331,nm0168413
tt0021409,nm0163229
tt0021505,nm0176699
tt0021508,nm0000406
tt0021542,nm0655065
tt0021549,nm0293260
tt0021571,nm0235590
tt0021577,nm0000320
tt0021622,nm0000406
tt0021633,nm0502752
tt0021635,nm0097648
tt0021636,nm0377126
tt0021668,nm0532187
tt0021673,nm0215877
tt0021730,nm0896542
tt0021739,nm0719756
tt0021746,nm0749484
tt0021749,nm0000122
tt0021750,nm0541149
tt0021770,nm0001328
tt0021778,nm0064600
tt0021800,nm0903049
tt0021814,nm0115218
tt0021814,nm0005713
tt0021815,nm0577654
tt0021818,nm0655065
tt0021873,nm0503777
tt0021874,nm0502752
tt0021884,nm0001843
tt0021885,nm0113284
tt0021890,nm0587277
tt0021985,nm0782804
tt0021992,nm0562845
tt0022000,nm0564970
tt0022017,nm0655065
tt0022054,nm0226189
tt0022074,nm0523932
tt0022080,nm0670643
tt0022100,nm0000485
tt0022111,nm0215877
tt0022125,nm0466099
tt0022150,nm0163229
tt0022153,nm0001008
tt0022158,nm0572851
tt0022183,nm0755985
tt0022183,nm0296193
tt0022208,nm0920074
tt0022236,nm0920074
tt0022251,nm0663613
tt0022264,nm0731910
tt0022268,nm0001008
tt0022276,nm0113284
tt0022279,nm0291548
tt0022286,nm0920074
tt0022335,nm0920074
tt0022395,nm0000033
tt0022403,nm0337586
tt0022436,nm0896542
tt0022453,nm0502752
tt0022454,nm0562845
tt0022458,nm0003638
tt0022485,nm0654868
tt0022489,nm0503777
tt0022550,nm0001843
tt0022599,nm0163229
tt0022626,nm0624756
tt0022626,nm0245385
tt0022626,nm0001008
tt0022628,nm0341486
tt0022628,nm0002030
tt0022639,nm0176699
tt0022660,nm0102643
tt0022685,nm0002030
tt0022689,nm0896542
tt0022694,nm0726166
tt0022694,nm0049462
tt0022698,nm0903049
tt0022700,nm0332539
tt0022718,nm0719756
tt0022725,nm0523932
tt0022735,nm0002031
tt0022753,nm0580017
tt0022753,nm0890085
tt0022787,nm0076368
tt0022792,nm0001328
tt0022802,nm0337586
tt0022827,nm0002031
tt0022834,nm0068419
tt0022835,nm0541149
tt0022867,nm0532561
tt0022877,nm0002165
tt0022879,nm0097648
tt0022905,nm0001008
tt0022913,nm0115218
tt0022958,nm0332539
tt0022991,nm0383304
tt0023027,nm0572851
tt0023028,nm0782682
tt0023042,nm0503777
tt0023049,nm0190516
tt0023049,nm0401680
tt0023049,nm0523932
tt0023049,nm0572851
tt0023049,nm0578985
tt0023049,nm0731596
tt0023049,nm0782682
tt0023049,nm0851537
tt0023074,nm0226189
tt0023158,nm0541149
tt0023181,nm0012317
tt0023194,nm0896533
tt0023194,nm0102643
tt0023196,nm0280463
tt0023213,nm0002188
tt0023225,nm0166836
tt0023238,nm0774325
tt0023238,nm0681635
tt0023241,nm0115669
tt0023241,nm0516001
tt0023245,nm0005713
tt0023249,nm0282984
tt0023277,nm0749484
tt0023285,nm0000033
tt0023293,nm0001843
tt0023303,nm0002030
tt0023303,nm0523932
tt0023305,nm0307819
tt0023312,nm0550892
tt0023312,nm0564971
tt0023312,nm0085295
tt0023312,nm0294137
tt0023327,nm0002179
tt0023349,nm0763453
tt0023362,nm0920074
tt0023369,nm0587277
tt0023374,nm0102643
tt0023374,nm0092915
tt0023382,nm0281808
tt0023385,nm0176699
tt0023394,nm0337586
tt0023395,nm0000033
tt0023427,nm0001328
tt0023427,nm0744514
tt0023458,nm0903049
tt0023470,nm0001124
tt0023488,nm0291548
tt0023491,nm0920074
tt0023498,nm0781292
tt0023551,nm0886754
tt0023556,nm0215877
tt0023563,nm0000485
tt0023582,nm0002179
tt0023590,nm0503777
tt0023622,nm0523932
tt0023629,nm0503777
tt0023634,nm0654868
tt0023649,nm0003433
tt0023686,nm0002030
tt0023694,nm0356931
tt0023731,nm0002031
tt0023753,nm0572851
tt0023753,nm0411208
tt0023753,nm0363414
tt0023775,nm0337586
tt0023814,nm0001008
tt0023825,nm0281808
tt0023856,nm0215877
tt0023871,nm0183018
tt0023876,nm0515979
tt0023891,nm0002188
tt0023911,nm0943758
tt0023926,nm0502752
tt0023935,nm0547446
tt0023937,nm0654868
tt0023940,nm0523932
tt0023943,nm0730018
tt0023943,nm0736778
tt0023948,nm0002030
tt0023960,nm0188669
tt0023969,nm0564970
tt0023973,nm0908234
tt0023973,nm0500552
tt0023985,nm0614225
tt0023985,nm0210352
tt0023986,nm0215877
tt0023993,nm0282984
tt0024008,nm0002031
tt0024008,nm0226189
tt0024008,nm0920074
tt0024025,nm0293260
tt0024028,nm0045800
tt0024034,nm0045800
tt0024044,nm0478441
tt0024055,nm0403054
tt0024067,nm0909825
tt0024069,nm0503777
tt0024087,nm0921195
tt0024115,nm0920074
tt0024127,nm0826094
tt0024130,nm0939992
tt0024166,nm0749484
tt0024183,nm0840042
tt0024184,nm0001843
tt0024188,nm0448915
tt0024210,nm0002031
tt0024216,nm0774325
tt0024216,nm0178260
tt0024238,nm0107854
tt0024238,nm0445033
tt0024239,nm0215877
tt0024240,nm0001008
tt0024252,nm0649097
tt0024262,nm0215877
tt0024264,nm0002030
tt0024302,nm0097648
tt0024314,nm0562845
tt0024314,nm0002031
tt0024334,nm0920074
tt0024353,nm0792514
tt0024360,nm0840042
tt0024368,nm0002031
tt0024402,nm0055823
tt0024426,nm0337586
tt0024433,nm0502752
tt0024435,nm0886754
tt0024450,nm0045800
tt0024473,nm0466099
tt0024481,nm0541149
tt0024500,nm0102908
tt0024516,nm0769585
tt0024548,nm0792514
tt0024593,nm0774325
tt0024601,nm0782682
tt0024617,nm0731596
tt0024675,nm0001328
tt0024675,nm0744514
tt0024727,nm0833965
tt0024747,nm0000033
tt0024772,nm0920074
tt0024785,nm0012317
tt0024831,nm0629519
tt0024844,nm0897118
tt0024852,nm0576940
tt0024852,nm0736778
tt0024865,nm0291548
tt0024894,nm0880618
tt0024902,nm0102908
tt0024906,nm0792514
tt0024906,nm0176699
tt0024914,nm0124877
tt0024916,nm0001008
tt0024961,nm0516001
tt0024961,nm0853130
tt0024966,nm0890574
tt0024966,nm0890567
tt0024968,nm0285946
tt0024989,nm0002061
tt0024991,nm0001124
tt0025004,nm0498174
tt0025028,nm0000923
tt0025028,nm0258015
tt0025037,nm0500552
tt0025091,nm0397678
tt0025101,nm0226189
tt0025129,nm0226189
tt0025132,nm0886754
tt0025161,nm0562845
tt0025164,nm0762263
tt0025173,nm0176699
tt0025173,nm0939992
tt0025272,nm0485647
tt0025272,nm0921288
tt0025273,nm0337586
tt0025301,nm0821472
tt0025316,nm0001008
tt0025318,nm0572851
tt0025330,nm0002031
tt0025335,nm0000406
tt0025397,nm0000485
tt0025410,nm0355284
tt0025423,nm0000406
tt0025440,nm0102908
tt0025452,nm0000033
